 train         node  observed  predicted
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y           48    "red"  "red"
     y           48    "red"  "red"
     y           48    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y           48    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y           48    "red"  "red"
     y           48    "red"  "red"
     y           48    "red"  "red"
     y            2    "red"  "red"
     y            2    "red"  "red"
     y           48    "red"  "red"
     y           48    "red"  "red"
     y           48    "red"  "red"
     y           48    "red"  "red"
     y           25    "red"  "red"
     y            2    "red"  "red"
     y           48    "red"  "red"
     y           48    "red"  "red"
     y           48    "red"  "red"
     y           25    "red"  "red"
     y           48    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           56    "red"  "blue"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           57    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           25    "red"  "red"
     y           25    "red"  "red"
     y           57    "red"  "red"
     y           25    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           29    "red"  "blue"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y           57    "red"  "red"
     y            2    "blue"  "red"
     y            2    "blue"  "red"
     y           25    "blue"  "red"
     y           49    "blue"  "blue"
     y           49    "blue"  "blue"
     y           49    "blue"  "blue"
     y           25    "blue"  "red"
     y           49    "blue"  "blue"
     y           49    "blue"  "blue"
     y           49    "blue"  "blue"
     y           56    "blue"  "blue"
     y           25    "blue"  "red"
     y           49    "blue"  "blue"
     y           49    "blue"  "blue"
     y           49    "blue"  "blue"
     y           49    "blue"  "blue"
     y           49    "blue"  "blue"
     y           49    "blue"  "blue"
     y           25    "blue"  "red"
     y           49    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           56    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           57    "blue"  "red"
     y           57    "blue"  "red"
     y           56    "blue"  "blue"
     y           29    "blue"  "blue"
     y           56    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           56    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           56    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           57    "blue"  "red"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
