diplomas.txt
NA
column, varname, vartype
1 "X" n
2 "STNAM" c
3 "FIPST" n
4 "ALL_COHORT_1112" n
5 "ALL_RATE_1112" d
6 "MAM_COHORT_1112" n
7 "MAM_RATE_1112" x
8 "MAS_COHORT_1112" n
9 "MAS_RATE_1112" x
10 "MBL_COHORT_1112" n
11 "MBL_RATE_1112" x
12 "MHI_COHORT_1112" n
13 "MHI_RATE_1112" x
14 "MTR_COHORT_1112" n
15 "MTR_RATE_1112" x
16 "MWH_COHORT_1112" n
17 "MWH_RATE_1112" x
18 "CWD_COHORT_1112" n
19 "CWD_RATE_1112" x
20 "ECD_COHORT_1112" n
21 "ECD_RATE_1112" x
22 "LEP_COHORT_1112" n
23 "Percentage" x
24 "State" n
25 "County" n
26 "Tract.Code" n
27 "District.ID" n
28 "GIDTR" n
29 "State.1" n
30 "County.1" n
31 "County_name" c
32 "Tract" n
33 "Flag" n
34 "Num_BGs_in_Tract" n
35 "LAND_AREA" n
36 "AIAN_LAND" n
37 "URBANIZED_AREA_POP_CEN_2010" n
38 "URBAN_CLUSTER_POP_CEN_2010" n
39 "RURAL_POP_CEN_2010" n
40 "Tot_Population_CEN_2010" n
41 "Tot_Population_ACS_08_12" n
42 "Tot_Population_ACSMOE_08_12" n
43 "Males_CEN_2010" n
44 "Males_ACS_08_12" n
45 "Males_ACSMOE_08_12" n
46 "Females_CEN_2010" n
47 "Females_ACS_08_12" n
48 "Females_ACSMOE_08_12" n
49 "Pop_under_5_CEN_2010" n
50 "Pop_under_5_ACS_08_12" n
51 "Pop_under_5_ACSMOE_08_12" n
52 "Pop_5_17_CEN_2010" n
53 "Pop_5_17_ACS_08_12" n
54 "Pop_5_17_ACSMOE_08_12" n
55 "Pop_18_24_CEN_2010" n
56 "Pop_18_24_ACS_08_12" n
57 "Pop_18_24_ACSMOE_08_12" n
58 "Pop_25_44_CEN_2010" n
59 "Pop_25_44_ACS_08_12" n
60 "Pop_25_44_ACSMOE_08_12" n
61 "Pop_45_64_CEN_2010" n
62 "Pop_45_64_ACS_08_12" n
63 "Pop_45_64_ACSMOE_08_12" n
64 "Pop_65plus_CEN_2010" n
65 "Pop_65plus_ACS_08_12" n
66 "Pop_65plus_ACSMOE_08_12" n
67 "Tot_GQ_CEN_2010" n
68 "Inst_GQ_CEN_2010" n
69 "Non_Inst_GQ_CEN_2010" n
70 "Hispanic_CEN_2010" n
71 "Hispanic_ACS_08_12" n
72 "Hispanic_ACSMOE_08_12" n
73 "NH_White_alone_CEN_2010" n
74 "NH_White_alone_ACS_08_12" n
75 "NH_White_alone_ACSMOE_08_12" n
76 "NH_Blk_alone_CEN_2010" n
77 "NH_Blk_alone_ACS_08_12" n
78 "NH_Blk_alone_ACSMOE_08_12" n
79 "NH_AIAN_alone_CEN_2010" n
80 "NH_AIAN_alone_ACS_08_12" n
81 "NH_AIAN_alone_ACSMOE_08_12" n
82 "NH_Asian_alone_CEN_2010" n
83 "NH_Asian_alone_ACS_08_12" n
84 "NH_Asian_alone_ACSMOE_08_12" n
85 "NH_NHOPI_alone_CEN_2010" n
86 "NH_NHOPI_alone_ACS_08_12" n
87 "NH_NHOPI_alone_ACSMOE_08_12" n
88 "NH_SOR_alone_CEN_2010" n
89 "NH_SOR_alone_ACS_08_12" n
90 "NH_SOR_alone_ACSMOE_08_12" n
91 "Pop_5yrs_Over_ACS_08_12" n
92 "Pop_5yrs_Over_ACSMOE_08_12" n
93 "Othr_Lang_ACS_08_12" n
94 "Othr_Lang_ACSMOE_08_12" n
95 "Age5p_Only_English_ACS_08_12" n
96 "Age5p_Only_English_ACSMOE_08_12" n
97 "Age5p_Spanish_ACS_08_12" n
98 "Age5p_Spanish_ACSMOE_08_12" n
99 "Age5p_French_ACS_08_12" n
100 "Age5p_French_ACSMOE_08_12" n
101 "Age5p_FrCreole_ACS_08_12" n
102 "Age5p_FrCreole_ACSMOE_08_12" n
103 "Age5p_Italian_ACS_08_12" n
104 "Age5p_Italian_ACSMOE_08_12" n
105 "Age5p_Portuguese_ACS_08_12" n
106 "Age5p_Portuguese_ACSMOE_08_12" n
107 "Age5p_German_ACS_08_12" n
108 "Age5p_German_ACSMOE_08_12" n
109 "Age5p_Yiddish_ACS_08_12" n
110 "Age5p_Yiddish_ACSMOE_08_12" n
111 "Age5p_WGerman_ACS_08_12" n
112 "Age5p_WGerman_ACSMOE_08_12" n
113 "Age5p_Scandinavian_ACS_08_12" n
114 "Age5p_Scandinavian_ACSMOE_08_12" n
115 "Age5p_Greek_ACS_08_12" n
116 "Age5p_Greek_ACSMOE_08_12" n
117 "Age5p_Russian_ACS_08_12" n
118 "Age5p_Russian_ACSMOE_08_12" n
119 "Age5p_Polish_ACS_08_12" n
120 "Age5p_Polish_ACSMOE_08_12" n
121 "Age5p_SRBCroatian_ACS_08_12" n
122 "Age5p_SRBCroatian_ACSMOE_08_12" n
123 "Age5p_OthSlavic_ACS_08_12" n
124 "Age5p_OthSlavic_ACSMOE_08_12" n
